Nama Hotel,Harga Hotel,Bintang
Comfort Room at Grhatama,"207,369",0
Malioboro Inn Hotel,"206,970",1
The Trust @ Taman Melati Yogyakarta,"205,897",0
Brothers Inn Babarsari,"205,638",2
Malioboro Garden Hotel Yogyakarta,"205,195",2
Apartment Taman Melati Yogyakarta by The Trust,"204,956",0
Taman Yuwono Heritage Malioboro by Natt's Hospitality,"204,937",1
Bedjo Homestay,"204,458",0
Rumput Hotel Resort & Resto,"204,346",1
Taman Melati 0919,"203,451",0
Grand Orchid Hotel Yogyakarta,"203,158",3
Bueno Colombo Hotel,"200,648",3
Grand Sarila Hotel Yogyakarta,"199,896",3
Best City Hotel,"199,874",3
Astana Malioboro Mitra RedDoorz,"198,434",2
D'Paragon UPN,"196,964",4
DPARAGON KEMUNING,"196,871",0
Dem Ayem Heritage Guest House,"196,287",1
The Satu Stay Kayen,"195,064",2
The Samirono,"192,206",0
Dom Hotel Jogja,"190,957",2
Orlen Hotel,"189,698",1
Super OYO Collection O 90023 Damar Kusumo Guest House,"189,678",2
House of Bedjo powered by Cocotel,"186,949",3
RedDoorz near Jogja City Mall,"185,733",2
Remen Room Bed and Breakfast,"185,541",2
CaraniHotelYogyakarta,"185,401",3
RedDoorz Plus near JCM Yogyakarta 2,"184,966",3
M Stay Guest House Jogja,"183,400",0
Puri Chorus Hotel,"180,729",1
Dasinem Family Homestay,"180,046",0
LPP Convention Hotel Demangan,"179,784",3
Mawar Asri Hotel,"179,731",2
Andelis Homestay,"178,931",0
Sans Hotel Ekkon Yogyakarta by RedDoorz,"178,176",3
BYTE Bed and Breakfast,"176,545",5
d' Omah Afi 1,"175,982",1
Oryza Hotel Malioboro,"175,568",2
Prime Gejayan Residence,"172,024",2
Kusuma Syariah Hotel Yogyakarta,"170,995",1
Sans Hotel Pippo Yogyakarta by RedDoorz,"170,938",3
Wanderlust,"169,941",2
Sans Hotel Absari Yogyakarta,"169,747",3
Sky Hotel Jogja,"169,318",1
Hotel Aryuka Yogyakarta,"169,183",3
Front One Resort Yogyakarta,"168,966",3
Cendhani Raras Gallery,"168,150",0
Marda Room By Vivo Apartment,"166,744",0
Ndalem Mantrigawen,"166,667",2
Paradise Room By Vivo Apartment,"165,851",0
Beta House At Apartemen Malioboro City,"165,269",0
Sunrise Hotel Jogja,"164,463",1
Votel Viure Hotel,"164,408",3
Griya Desa Hotel,"162,848",1
CASAKITA exclusive guest house,"162,741",0
Metro Malioboro Living,"162,367",3
Grand Marto Hotel,"162,142",2
d'Mezzanine - Yogyakarta,"161,314",0
OYO Collection O 1626 Alena Residence,"160,740",3
Collection O 90253 DHelomi,"158,468",2
RedDoorz near Malioboro Mall 2,"156,265",2
Collection O 3468 Ndalem Gusti Ayu,"156,256",2
RedDoorz near Universitas Islam Indonesia,"155,537",2
Puri Langenarjan Guesthouse,"154,305",0
RedDoorz near Universitas Muhammadiyah Yogyakarta,"153,934",2
Hotel Bladok Yogyakarta,"153,475",3
RedDoorz @ Plemburan Jakal 2,"152,873",2
d'Mezzanine,"152,872",0
Koslo Yogyakarta,"151,703",1
Hotel Pules,"151,581",1
Urbanview Hotel Syariah Casa Azmya Yogyakarta by RedDoorz,"149,235",3
Embe Joglo Homestay,"148,996",0
Collection O Ratamya Co-living Yogyakarta,"146,695",3
Tembok Batu Residence,"145,592",2
Vin's Room at Vivo Apartemen,"144,519",0
RedDoorz Plus near Amplaz Yogyakarta,"144,454",3
Pendowo Huis Guest House - Standard 5,"143,738",0
RedDoorz Plus Syariah near Lempuyangan Station 3,"141,877",3
RedDoorz Syariah near Taman Pelangi Monjali,"141,827",2
Student Castle Apartment Breakout HD,"141,075",0
Banana Homestay Prawirodirjan,"141,003",0
RedDoorz Plus near Alun Alun Selatan 2,"140,862",3
Amaya Suites Hotel,"140,637",2
RedDoorz Plus near UPN Jogjakarta 2,"140,283",3
Urbanview Stay @H jakal by RedDoorz,"138,695",3
Indoluxe Rent Apartment Jogja,"136,875",3
Super OYO 90778 River inn Malioboro,"136,483",2
RedDoorz @ Turangga Sari,"133,500",2
Akur Hotel Malioboro Mitra RedDoorz,"132,936",2
Cabin Hotel Bhayangkara,"131,901",1
Mirta V Apartment Jogja,"131,393",0
RedDoorz near Sindu Kusuma Edupark 3,"130,831",2
Super OYO 91816 Griya Putih,"129,939",2
"Bobopod Malioboro, Yogyakarta","128,167",0
Petik Merah Homestay,"127,709",0
Urbanview Sasono Putro Condongcatur by RedDoorz,"126,896",3
Capital O 93873 Sokkyo Homestay,"126,569",3
Sunrise Hotel Jombor Jogja,"124,250",1
Urbanview Hotel Telu Wolu Monjali by RedDoorz,"124,044",3
Hotel Srikandi Baru,"123,967",0
Argya Guesthouse,"123,720",0
Kost Exclusive Omah Pandega Maharsi Syariah,"123,319",0
Apartement Malioboro City Bintang Tiga,"122,318",3
Hotel Vala Yogyakarta,"122,029",1
Homestay C9 Exclusive Kaliurang Yogyakarta Mitra RedDoorz,"120,996",2
RedDoorz near Rumah Sakit Condong Catur,"120,284",2
SUPER OYO 1319 88 Exclusive Guesthouse,"120,227",2
RedDoorz @ Sagan Jogja 2,"120,216",2
Garuda Guesthouse Yogyakarta RedPartner,"120,115",2
Super OYO Capital O 90983 Harmony Easy Stay,"119,683",3
Sabana Homestay,"119,596",1
Front One Cabin Malioboro Jogja,"119,215",1
Urbanview Code Riverstay Yogyakarta,"118,929",3
OYO 91315 Homestay Al Maidah,"117,136",2
RedDoorz near XT Square Yogyakarta,"117,054",2
Omah Ambarukmo,"117,019",2
RedDoorz near Terminal Condong catur,"116,893",2
Hotel Safara,"116,890",2
SUPER OYO 90905 Dangau Datuk Guesthouse,"116,511",2
RedDoorz near Jogja Expo Center 2,"116,340",2
RedDoorz near UGM 3,"116,029",2
RedDoorz near Pascasarjana UGM 2,"115,031",2
Alam Jogja Resort Mitra RedDoorz,"114,698",2
RedDoorz near Affandi Gejayan 2,"114,596",2
Collection O 92254 Hotel By Orchid,"114,116",2
RedDoorz near GOR UNY,"113,680",2
